days_on_market,spider,baths,beds,title,streetAddress,postalCode,status,photo_count,description,price,latitude,address,date,urlSource,addressCity,imgage_urls,url,sqft,longitude,server,project,addressRegion,image_url
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
1 day on Zillow,,1.0,2.0,,2306 32nd St Rentonly # 4,92104.0,House For Sale,,,,32.736696,,,,San Diego,,,850.0,-117.128164,,,CA,https://photos.zillowstatic.com/p_e/ISq12o5e42hu8a1000000000.jpg
